rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n,strategy_year,strategy_year_n
273,University of Newcastle,23221,0.22,0.18,51.41,26.2,30.5,80.7,53.0,84.2,2021,0.54,0.28,0.31,0.81,0.53,0.84,0.05,0.06,0.21,2021,0
146,University of Ottawa,35140,0.25,0.2,58.0,41.1,41.3,87.1,46.0,79.9,2021,0.61,0.44,0.41,0.87,0.46,0.8,0.07,0.07,0.24,2021,0
107,University of Birmingham,30195,0.15,0.3,61.3,40.3,45.5,92.6,40.1,90.2,2021,0.64,0.43,0.46,0.93,0.4,0.9,0.06,0.04,0.36,2023,-2
149,Durham University,17090,0.15,0.31,57.6,44.8,49.7,71.2,37.3,92.7,2021,0.6,0.47,0.5,0.71,0.37,0.93,0.03,0.04,0.37,2020,1
562,University of Portsmouth,20870,0.15,0.26,43.25,18.8,16.7,70.4,33.9,88.6,2021,0.45,0.2,0.17,0.7,0.34,0.89,0.04,0.04,0.31,2021,0
605,Auburn University,26838,0.19,0.09,42.42,30.7,21.4,45.4,40.0,45.7,2021,0.44,0.33,0.21,0.45,0.4,0.46,0.05,0.06,0.11,2019,2
291,University College Dublin,23148,0.23,0.3,50.69,29.0,37.8,73.3,44.0,93.1,2021,0.53,0.31,0.38,0.73,0.44,0.93,0.05,0.07,0.36,2020,1
978,University of Wolverhampton,14780,0.18,0.21,36.98,16.2,13.2,37.4,33.5,65.2,2021,0.39,0.17,0.13,0.37,0.34,0.65,0.03,0.05,0.25,2015,6
330,University of South Australia,20930,0.31,0.2,49.27,24.5,36.1,67.2,86.9,86.2,2021,0.52,0.26,0.36,0.67,0.87,0.86,0.04,0.09,0.24,2015,6
223,La Trobe University,22303,0.32,0.3,53.7,27.9,34.6,82.7,50.0,86.7,2021,0.56,0.3,0.35,0.83,0.5,0.87,0.04,0.09,0.36,2015,6
159,University of Nottingham,30800,0.15,0.29,56.9,42.0,42.4,80.0,38.7,87.8,2021,0.6,0.44,0.43,0.8,0.39,0.88,0.06,0.04,0.35,2021,0
397,Aberystwyth University,6810,0.17,0.22,47.18,23.8,23.8,62.0,38.6,79.0,2021,0.49,0.25,0.24,0.62,0.39,0.79,0.01,0.05,0.26,2021,0
30,University of Edinburgh,30650,0.12,0.42,79.4,67.2,74.7,96.0,38.7,94.6,2021,0.83,0.71,0.75,0.96,0.39,0.95,0.06,0.04,0.5,2017,4
781,Ulster University,17195,0.17,0.08,39.53,20.2,18.0,41.8,33.6,76.5,2021,0.41,0.21,0.18,0.42,0.34,0.76,0.03,0.05,0.1,2020,1
147,University of Auckland,32596,0.23,0.31,57.8,30.6,44.8,87.5,75.4,94.5,2021,0.6,0.32,0.45,0.88,0.75,0.94,0.06,0.07,0.37,2018,3
430,University of Georgia,36169,0.17,0.07,46.28,40.3,36.1,51.4,36.2,46.3,2021,0.48,0.43,0.36,0.51,0.36,0.46,0.07,0.05,0.08,2020,1
301,Boston College,12921,0.16,0.11,50.31,48.2,33.3,64.5,33.5,44.0,2021,0.53,0.51,0.33,0.64,0.34,0.44,0.03,0.05,0.13,2015,6
499,York University,49353,0.38,0.25,44.59,27.3,37.2,50.9,44.1,76.1,2021,0.47,0.29,0.37,0.51,0.44,0.76,0.1,0.11,0.3,2019,2
171,University of Leicester,15550,0.15,0.32,56.0,30.9,33.6,96.2,37.6,90.7,2021,0.59,0.33,0.34,0.96,0.38,0.91,0.03,0.04,0.38,2016,5
40,McGill University,31578,0.13,0.31,75.1,64.2,73.4,86.4,43.7,91.3,2021,0.79,0.68,0.74,0.86,0.44,0.91,0.06,0.04,0.37,2020,1
