rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1,California Institute of Technology,94.8,95.7,98.2,99.9,97,56,2243,6.9,0.27,2012
2,Harvard University,93.9,95.8,97.4,99.8,35.9,67.5,20152,8.9,0.25,2012
2,Stanford University,93.9,94.8,98.9,99.8,63.8,57.2,15596,7.8,0.22,2012
4,University of Oxford,93.6,89.5,96.6,97.9,62.1,91.9,19919,11.6,0.34,2012
5,Princeton University,92.9,91.5,99.1,100,81,49.6,7929,8.4,0.27,2012
6,University of Cambridge,92.4,90.5,94.2,97.3,55.5,85.3,18812,11.8,0.34,2012
7,Massachusetts Institute of Technology,92.3,92.7,87.4,100,94.4,79.2,11074,9,0.33,2012
8,Imperial College London,90.7,88.8,88.7,93.9,93.1,92.2,15060,11.7,0.51,2012
9,University of Chicago,90.2,89.4,90.8,99.4,-,58.8,14221,6.9,0.21,2012
10,"University of California, Berkeley",89.8,82.8,99.4,99.4,62.5,50.4,36186,16.4,0.15,2012
11,Yale University,89.1,92.3,91.2,96.7,34.7,55.5,11751,4.4,0.20,2012
12,Columbia University,87.5,89.1,81.8,97.8,-,67.6,25055,5.9,0.28,2012
13,"University of California, Los Angeles",87.3,85.9,92.5,97.3,-,41,38206,10.3,0.15,2012
14,Johns Hopkins University,85.8,78.9,86.5,97.3,100,59.9,15128,3.6,0.23,2012
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,85,79.1,85.8,87.2,-,97.5,18178,14.7,0.37,2012
16,University of Pennsylvania,84.9,87,86.1,97.9,41.9,34.3,20376,6.5,0.20,2012
17,University College London,83.2,77.8,84.3,89,41.4,91.8,26607,10.7,0.46,2012
18,University of Michigan,82.8,75.4,90,94.3,53.3,47.2,41786,9,0.16,2012
19,University of Toronto,81.6,76.9,87.4,86.5,44.9,69,66198,19.5,0.15,2012
20,Cornell University,80.5,70.4,87.2,93.5,-,53.4,21424,10.2,0.19,2012
21,Carnegie Mellon University,78.4,65.7,79.5,97.4,60.7,55,11885,13.1,0.35,2012
22,Duke University,77.4,62.6,77.9,97.4,100,46.9,15172,4.8,0.17,2012
22,University of British Columbia,77.4,68.6,78.6,85.2,40.6,88.7,50152,17.6,0.25,2012
24,Georgia Institute of Technology,77,66.6,73.8,91.9,99.2,65,19967,20.1,0.26,2012
25,University of Washington,76.5,70.8,74,98.2,31.8,36.9,44020,11.8,0.13,2012
26,Northwestern University,76.2,66.3,75.5,98.6,56.6,35.3,18334,13.8,0.15,2012
27,University of Wisconsin-Madison,75.8,74.3,77.3,90.6,55.3,23.8,39655,10.8,0.11,2012
28,McGill University,75.5,72.8,78.4,77.1,35.1,81.4,31326,13.7,0.23,2012
29,University of Texas at Austin,74.9,69.5,76.1,89.6,57.7,38.8,49427,17.4,0.09,2012
30,University of Tokyo,74.3,86.1,80.3,69.1,76.6,23,26199,5.7,0.10,2012
31,University of Illinois at Urbana-Champaign,74.2,67.9,81.3,81.5,-,50.7,42727,18.7,0.20,2012
32,Karolinska Institute,73.1,69.9,73.8,73.1,78.5,82,7774,11.5,0.22,2012
33,"University of California, San Diego",73,61.4,72,97.8,51.8,31.5,27233,6.5,0.11,2012
34,University of Hong Kong,72.3,74,80.1,60.5,64.1,83.7,19835,17.6,0.38,2012
35,"University of California, Santa Barbara",72.1,55,65.3,99.9,85,52.6,22020,27.3,0.11,2012
36,University of Edinburgh,72,63,61.4,92.3,41.3,79.8,25774,14.1,0.36,2012
37,University of Melbourne,71.9,62.2,72.4,80.7,44.4,82.5,40128,23.7,0.35,2012
38,Australian National University,71.2,62.8,75.1,72.6,41.7,93.8,14604,19.2,0.35,2012
38,"University of California, Davis",71.2,68,68.7,83.4,52.5,51.4,35364,13.9,0.13,2012
40,National University of Singapore,70.9,65.7,79,63.4,60.7,93,31592,15.5,0.34,2012
41,Washington University in St Louis,70.5,64,58.9,96.1,-,45.7,12528,5.7,0.17,2012
42,University of Minnesota,70,66.1,72.5,85.4,-,25.6,46825,18,0.13,2012
43,University of North Carolina at Chapel Hill,69.3,67.6,62.6,92.6,35.5,20.2,26518,7.3,0.08,2012
44,New York University,69,60.2,65.4,92.3,30.9,38.1,42056,6.8,0.19,2012
45,LMU Munich,67.6,63.8,59.9,84.6,40.7,54.3,35691,15.5,0.13,2012
46,École Polytechnique Fédérale de Lausanne,66.3,53.1,43.9,95.3,46.7,98.9,9666,10.5,0.54,2012
47,London School of Economics and Political Science,66,66.4,75.4,50.6,41.1,96,,,,2012
48,University of Manchester,65.7,59,61.1,75.6,37.7,80.4,34938,15.3,0.34,2012
49,Brown University,65.6,59.8,53.6,93.9,34.9,33.4,8653,10.1,0.19,2012
49,Peking University,65.6,82.3,64.1,51,99.9,51.7,40148,8.3,0.14,2012
51,Pennsylvania State University,64.9,53.5,66.7,83.4,61.6,29.5,44501,12.4,0.12,2012
52,Kyoto University,64.8,76.4,72,56.3,71.7,21.1,22809,5.6,0.07,2012
53,Pohang University of Science and Technology,64.6,56.4,51.9,92.3,100,25,3055,10.1,0.04,2012
54,Boston University,64.2,60.7,46.2,95.6,27.6,37.2,24789,8.6,0.17,2012
55,University of Southern California,64,65.8,48.7,80.2,99.3,41.1,36534,12.9,0.20,2012
56,King’s College London,63.2,49.8,54.2,80.9,40.8,90,21394,11.4,0.37,2012
