rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
1,California Institute of Technology,95.5,96.3,99.4,99.7,95.6,59.8,2243,6.9,0.27,2013
2,Stanford University,93.7,95,98.8,99.3,62.4,56.6,15596,7.8,0.22,2013
2,University of Oxford,93.7,89.7,98.1,95.6,79.8,88.7,19919,11.6,0.34,2013
4,Harvard University,93.6,94.9,98.6,99.2,39.9,63.7,20152,8.9,0.25,2013
5,Massachusetts Institute of Technology,93.1,92.9,89.2,99.9,92.9,81.6,11074,9,0.33,2013
6,Princeton University,92.7,89.5,99.4,99.8,79.5,54.5,7929,8.4,0.27,2013
7,University of Cambridge,92.6,91.2,95.6,96.2,59.1,83.6,18812,11.8,0.34,2013
8,Imperial College London,90.6,88,90.9,93,87.5,91.4,15060,11.7,0.51,2013
9,"University of California, Berkeley",90.5,85.1,99.3,99.3,65.4,49.7,36186,16.4,0.15,2013
10,University of Chicago,90.4,89.6,92.9,98.7,-,55.3,14221,6.9,0.21,2013
11,Yale University,89.2,93.2,92.5,94.8,38.2,54.7,11751,4.4,0.20,2013
12,ETH Zurich – Swiss Federal Institute of Technology Zurich,87.8,82.5,92.7,86.6,-,95.7,18178,14.7,0.37,2013
13,"University of California, Los Angeles",87.7,87.3,93.8,95.9,-,42.3,38206,10.3,0.15,2013
14,Columbia University,87,89.7,82,96.1,-,66.1,25055,5.9,0.28,2013
15,University of Pennsylvania,86.6,90,89.4,96.2,43.7,38.1,20376,6.5,0.20,2013
16,Johns Hopkins University,85.6,81.8,85.5,95.3,100,57.3,15128,3.6,0.23,2013
17,University College London,85.5,83.5,88.8,86.8,45.1,89,26607,10.7,0.46,2013
18,Cornell University,83.3,77,92.1,91.8,39.5,53.8,21424,10.2,0.19,2013
19,Northwestern University,83.1,77.6,87.3,98.2,64.4,33.8,18334,13.8,0.15,2013
20,University of Michigan,82.6,76.1,91.4,91.6,53.9,47.6,41786,9,0.16,2013
21,University of Toronto,82.2,79.6,89.4,85.1,42.9,65.1,66198,19.5,0.15,2013
22,Carnegie Mellon University,81.5,71.8,87,95.5,55.9,51.4,11885,13.1,0.35,2013
23,Duke University,81.2,72.3,81.5,97,100,45.8,15172,4.8,0.17,2013
24,University of Washington,79.9,74.7,81.3,97,41.3,39.1,44020,11.8,0.13,2013
25,Georgia Institute of Technology,78.8,70.2,79.5,90.3,74.9,66.3,19967,20.1,0.26,2013
25,University of Texas at Austin,78.8,75.5,80.7,91,57.9,42.1,49427,17.4,0.09,2013
27,University of Tokyo,78.3,87.9,89.9,71.3,59,27.6,26199,5.7,0.10,2013
28,University of Melbourne,77.9,68.4,82.5,83.7,67.6,77.2,40128,23.7,0.35,2013
29,National University of Singapore,77.5,74.4,87.2,67.2,77.4,92.3,31592,15.5,0.34,2013
30,University of British Columbia,77.3,69.1,80.4,84,42.4,82.1,50152,17.6,0.25,2013
31,University of Wisconsin-Madison,76.9,76.1,80.1,88.2,54.8,29.8,39655,10.8,0.11,2013
32,University of Edinburgh,76.1,68.4,71.3,90.8,43.8,78.9,25774,14.1,0.36,2013
33,University of Illinois at Urbana-Champaign,75.8,74.2,84.9,80.8,-,36,42727,18.7,0.20,2013
34,McGill University,75.7,74.4,80.4,75.2,40.3,75.9,31326,13.7,0.23,2013
35,"University of California, Santa Barbara",75.6,56.1,73.5,99.4,100,58.3,22020,27.3,0.11,2013
35,University of Hong Kong,75.6,78.4,85.9,62.1,62.5,81.7,19835,17.6,0.38,2013
37,Australian National University,75.4,68.6,83.5,73.5,39.6,90,14604,19.2,0.35,2013
38,"University of California, San Diego",75.2,63.4,79,96.2,43.9,34.2,27233,6.5,0.11,2013
39,London School of Economics and Political Science,73.1,70.8,80.8,66.5,42.9,87.2,,,,2013
40,École Polytechnique Fédérale de Lausanne,73,62.4,57,95,49.8,98.8,9666,10.5,0.54,2013
41,New York University,72.8,73.8,67.4,89.2,29.5,38.7,42056,6.8,0.19,2013
42,Karolinska Institute,72.4,66.3,75.7,77.3,71.4,64.5,7774,11.5,0.22,2013
42,University of North Carolina at Chapel Hill,72.4,70.4,69.3,90.1,40,32.9,26518,7.3,0.08,2013
44,"University of California, Davis",71.8,67.9,71.6,82.7,52.5,51.7,35364,13.9,0.13,2013
44,Washington University in St Louis,71.8,66,62.8,95.2,-,44.3,12528,5.7,0.17,2013
46,Peking University,70.7,81.5,67.9,64.3,99.9,54.1,40148,8.3,0.14,2013
47,University of Minnesota,70.5,66.1,74,84.7,-,28.7,46825,18,0.13,2013
48,LMU Munich,70.4,65.4,66.5,85.5,42,54.7,35691,15.5,0.13,2013
49,University of Manchester,70.1,65.9,67.7,76.9,43.2,77.9,34938,15.3,0.34,2013
50,Pohang University of Science and Technology,69.4,63.9,63.9,88.2,100,28.8,3055,10.1,0.04,2013
51,Brown University,68.9,63.7,60.3,94.1,29.9,36.9,8653,10.1,0.19,2013
52,Tsinghua University,67.1,74.5,76.4,55.2,99.2,37.2,39763,13.7,0.10,2013
53,Ohio State University,67,66.7,60.9,80.1,49.5,46.3,51462,13.4,0.12,2013
54,Boston University,66.8,65.4,50.9,94.2,30.6,39.2,24789,8.6,0.17,2013
54,Kyoto University,66.8,77.1,74.8,57.8,76.4,26.3,22809,5.6,0.07,2013
56,University of Southern California,66.3,68.4,57.1,81.9,33.5,43.4,36534,12.9,0.20,2013
57,King’s College London,66.2,53.5,59.3,82.8,42.4,86,21394,11.4,0.37,2013
58,KU Leuven,66.1,59.7,71,67.2,99.7,56.6,42503,41.9,0.18,2013
59,Seoul National University,65.9,76.7,81.4,48,81.7,27,26389,13.9,0.10,2013
59,École Normale Supérieure,65.9,61.6,46.9,90.3,47.2,67.3,2400,7.9,0.20,2013
61,Pennsylvania State University,65.8,55,69.2,81.4,59.7,34.9,44501,12.4,0.12,2013
62,University of Sydney,65.7,59.5,70.1,62.9,69.2,83,41868,20.2,0.28,2013
62,École Polytechnique,65.7,56.5,54.7,80.7,75.8,83,2429,4.8,0.30,2013
64,Leiden University,65.1,54,67.1,78.4,46.1,54.8,21222,17.1,0.10,2013
65,Hong Kong University of Science and Technology,64.4,56.9,64.6,68.9,55.6,78.1,11385,23.8,0.36,2013
65,The University of Queensland,64.4,54.4,66.1,69.6,64,77.8,34718,32.7,0.27,2013
67,Utrecht University,64.1,48,64.7,82.4,82.6,47.3,30779,15.4,0.07,2013
68,Korea Advanced Institute of Science and Technology (KAIST),64,69.9,68.9,58.4,100,31.1,9027,10,0.09,2013
69,Purdue University,63.8,59.8,71.9,63.1,-,54.8,39256,18.1,0.22,2013
70,University of Göttingen,63.2,50,52.5,92.5,34.4,51,25581,25.6,0.12,2013
70,Wageningen University and Research Center,63.2,54.9,53.7,73.8,100,79.2,9248,17,0.21,2013
72,Erasmus University Rotterdam,62.9,44.5,64.1,80.2,62,62.8,20580,18.9,0.18,2013
72,University of Massachusetts,62.9,57.1,62.6,77.8,52.8,31.7,56959,13,0.11,2013
74,University of Bristol,62.5,50.1,51.7,85.4,38.7,71.9,17906,14,0.25,2013
75,Rice University,62,49.5,39.3,100,36.5,59,6333,9,0.26,2013
76,University of Pittsburgh,61.7,54.6,55.1,85.2,39.3,29.4,26485,5.8,0.10,2013
77,Delft University of Technology,61.6,59.9,75.1,45.1,99.9,67.7,15920,19.4,0.25,2013
78,Heidelberg University,61.4,61.4,49,75.5,40.7,61.3,28881,24.5,0.17,2013
79,Emory University,61.3,56.7,44.4,90.9,38.3,36.6,12338,4.5,0.18,2013
80,Durham University,60.7,42.3,44.5,93.3,34.3,77.7,15489,15.7,0.24,2013
81,Pierre and Marie Curie University,60.5,59.2,43.5,80.6,28.6,64.4,27862,8.7,0.18,2013
82,Lund University,60.3,43.6,61.3,77.1,34.2,64.4,28251,11.5,0.15,2013
83,University of Amsterdam,60.1,45.6,61.3,75.1,49,57,24570,14.4,0.11,2013
84,University of Montreal,59.8,54,57.9,60.9,95,74.6,38264,20.3,0.25,2013
85,University of New South Wales,59.6,52.6,63.8,56.7,50.5,84.8,38309,25.9,0.33,2013
86,Nanyang Technological University,59.4,45.7,66.9,54.5,99.5,90.5,25028,16.2,0.33,2013
87,Tufts University,59.1,52.6,36.4,94.8,39.4,39.6,10410,10,0.14,2013
88,McMaster University,59,42.3,47.9,81.7,98,66.9,23823,19.3,0.15,2013
89,University of Groningen,58.8,43.8,61,71.6,85.2,49.8,24556,25.6,0.12,2013
89,University of Zurich,58.8,50,41.6,80,38.3,84.1,26583,6.5,0.19,2013
91,University of Colorado Boulder,58.7,42.3,44.4,97.1,-,34.7,29325,16.1,0.08,2013
92,Paris-Sud University,58.6,48,45.9,82.9,28.4,63.9,27603,15,0.17,2013
93,Ghent University,58.4,46.4,56.7,71.3,95.9,49.1,32166,34.1,0.09,2013
94,Michigan State University,58.3,51.8,56.8,73.8,32.6,36.8,44750,15.7,0.15,2013
94,University of Notre Dame,58.3,48.3,39.6,93.5,29.8,41.6,11829,13.8,0.10,2013
96,"University of California, Irvine",58.2,44,47.2,90.3,42.1,35.2,26614,16.1,0.16,2013
97,"University of Maryland, College Park",57.9,44.9,51.4,83.9,32.1,40.4,31331,8.4,0.09,2013
98,University of Arizona,57.7,47,53.7,76.9,83.9,31.3,36429,12.7,0.08,2013
99,Humboldt University of Berlin,57.5,55.4,58.7,59.5,-,57.5,29987,52.5,0.16,2013
99,Monash University,57.5,47.8,60.6,60.9,70,66.4,50882,40.5,0.36,2013
99,"Rutgers, the State University of New Jersey",57.5,50.9,61.3,69.5,35.8,27.9,37032,17.3,0.08,2013
102,University of Rochester,57.2,46,37.8,92.3,39.6,45.9,9390,4.5,0.26,2013
103,University of York,57.1,41.9,43.9,83.4,38.4,71.9,,,,2013
104,Case Western Reserve University,56.9,56.5,42,80.4,-,34.2,9259,6.4,0.17,2013
105,Technical University of Munich,56.8,51.2,42.4,76.5,49.7,61.5,35565,31.5,0.20,2013
106,Uppsala University,56.6,48.6,63.9,58.2,44.1,56.3,25266,18.2,0.12,2013
106,Vanderbilt University,56.6,51.5,40.9,85,53,27.5,12161,3.6,0.10,2013
108,University of St Andrews,56.5,43.2,43.8,76.6,38.9,86.3,8338,12.7,0.47,2013
109,University of Helsinki,56.4,42.8,53,77.7,31.1,48.3,23505,15.1,0.06,2013
110,Trinity College Dublin,56.2,41.9,33.5,88.1,32.8,84.5,15521,18,0.25,2013
110,University of Sheffield,56.2,49.5,46.2,71,41.5,68.1,23311,15.5,0.31,2013
110,University of Sussex,56.2,34.9,39.5,91.1,32.1,76.7,12001,17.4,0.35,2013
